seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
31871,2025,5025,A.J. Green,SG,MIL,73,1659,28,72,1,0,0,guard_percent,100,6,4,200,76,guard,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,FALSE
31872,2025,5026,A.J. Lawson,SG,TOR,26,486,22,55,23,0,0,wing_small_percent,78,6,6,179,78,wing,0.4,0.4,0.8,0.081,-1.5,-1,-2.5,-0.1,FALSE
31874,2025,5210,AJ Johnson,SG,MIL,7,44,41,54,6,0,0,guard_percent,95,6,4,160,76,guard,-0.1,0,0,-0.023,-3.1,-1.8,-4.9,0,FALSE
31875,2025,5210,AJ Johnson,SG,WAS,22,595,31,62,6,0,0,guard_percent,93,6,4,160,76,guard,-0.4,0,-0.4,-0.033,-5.8,-2.5,-8.3,-0.9,FALSE
31876,2025,4219,Aaron Gordon,PF,DEN,51,1447,0,0,0,89,11,big_percent,100,6,8,235,80,big,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,FALSE
31877,2025,4582,Aaron Holiday,PG,HOU,62,792,100,0,0,0,0,guard_percent,100,6,0,185,72,guard,1.2,0.8,2,0.122,-0.4,0.1,-0.2,0.3,FALSE
31878,2025,4805,Aaron Nesmith,SF,IND,45,1123,0,19,81,1,0,wing_small_percent,100,6,5,215,77,wing,1.9,1,2.9,0.126,0,-0.5,-0.5,0.4,FALSE
31879,2025,4900,Aaron Wiggins,SG,OKC,76,1744,2,34,52,12,0,wing_small_percent,86,6,6,200,78,wing,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,FALSE
31880,2025,5109,Adam Flagler,SG,OKC,37,203,93,7,0,0,0,guard_percent,100,6,3,195,75,guard,-0.6,0.3,-0.3,-0.062,-8.1,-2.3,-10.3,-0.4,FALSE
31881,2025,5110,Adama Sanogo,C,CHI,4,21,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big,0,0,0,0.105,0.7,-3.4,-2.6,0,FALSE
31882,2025,5211,Adem Bona,C,PHI,58,905,0,0,0,6,94,big_percent,100,6,10,235,82,big,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2,FALSE
31883,2025,5212,Ajay Mitchell,SG,OKC,36,597,13,50,29,8,1,wing_small_percent,79,6,5,200,77,wing,0.6,0.9,1.5,0.122,-2.5,0.9,-1.6,0.1,FALSE
31884,2025,3734,Al Horford,C,BOS,60,1659,0,0,0,60,40,big_percent,100,6,9,240,81,big,2,2.4,4.4,0.129,0.1,1.1,1.2,1.3,FALSE
31885,2025,3982,Alec Burks,SG,MIA,49,863,7,54,38,2,0,wing_small_percent,92,6,6,214,78,wing,0.9,0.9,1.8,0.1,0,0.3,0.3,0.5,FALSE
31886,2025,4465,Alex Caruso,SG,OKC,54,1041,26,52,22,0,0,guard_percent,78,6,5,186,77,guard,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6,FALSE
31887,2025,5213,Alex Ducas,SG,OKC,21,125,3,55,38,5,0,wing_small_percent,93,6,6,222,78,wing,0.1,0.2,0.3,0.125,-2.1,0.1,-2,0,FALSE
31889,2025,4142,Alex Len,C,SAC,36,258,0,0,0,0,100,big_percent,100,7,0,250,84,big,0.3,0.3,0.6,0.121,-2.1,2.4,0.3,0.2,FALSE
31890,2025,4142,Alex Len,C,LAL,10,122,0,0,0,0,100,big_percent,100,7,0,250,84,big,-0.1,0.1,0,0.002,-7.6,-1.3,-8.9,-0.2,FALSE
31892,2025,5214,Alex Reese,PF,OKC,1,2,0,0,0,0,100,big_percent,100,6,9,245,81,big,0,0,0,0.59,23.2,-3.6,19.6,0,FALSE
31893,2025,5214,Alex Reese,PF,PHI,14,214,0,0,0,47,53,big_percent,100,6,9,245,81,big,0.2,0.2,0.5,0.105,-1.1,-0.3,-1.4,0,FALSE
31894,2025,5215,Alex Sarr,C,WAS,67,1814,0,0,0,3,97,big_percent,100,7,0,205,84,big,-1.6,1.3,-0.3,-0.007,-2.2,-1,-3.3,-0.6,FALSE
31895,2025,5028,Alondes Williams,SG,DET,1,4,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,0,0,0,0.565,37.9,6.2,44.1,0,FALSE
31895,2025,5028,Alondes Williams,SG,DET,1,4,0,100,0,0,0,wing_small_percent,100,NA,NA,NA,NA,wing,0,0,0,0.565,37.9,6.2,44.1,0,FALSE
31896,2025,4904,Alperen Şengün,C,HOU,76,2395,0,0,0,7,93,big_percent,100,6,11,235,83,big,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9,TRUE
31897,2025,5113,Amen Thompson,SF,HOU,69,2225,1,17,53,29,0,wing_big_percent,82,6,7,209,79,wing,4.1,3.9,8,0.172,1.4,2.6,4.1,3.4,TRUE
31898,2025,4690,Amir Coffey,SG,LAC,72,1748,0,15,63,21,1,wing_big_percent,84,6,7,210,79,wing,2.4,1.7,4,0.111,-1.5,-0.2,-1.7,0.1,FALSE
31899,2025,4064,Andre Drummond,C,PHI,40,751,0,0,0,0,100,big_percent,100,6,11,279,83,big,0.2,1,1.2,0.078,-2.4,-0.8,-3.2,-0.2,FALSE
31900,2025,5114,Andre Jackson Jr.,SG,MIL,67,980,1,65,28,7,0,wing_small_percent,93,6,6,210,78,wing,0.1,1,1.2,0.059,-3.6,0.2,-3.4,-0.3,FALSE
31901,2025,5029,Andrew Nembhard,SG,IND,65,1881,15,85,1,0,0,guard_percent,100,6,5,193,77,guard,1.1,1.7,2.8,0.071,-2.6,0.3,-2.3,-0.1,FALSE
31903,2025,4223,Andrew Wiggins,SF,GSW,43,1296,0,3,66,31,0,wing_big_percent,97,6,7,197,79,wing,1.7,1.5,3.2,0.119,1.4,-0.4,1,1,FALSE
31904,2025,4223,Andrew Wiggins,SF,MIA,17,546,1,29,65,5,0,wing_small_percent,94,6,7,197,79,wing,0.2,0.6,0.8,0.069,0.8,-0.1,0.7,0.4,FALSE
31905,2025,4586,Anfernee Simons,SG,POR,70,2292,53,42,5,0,0,guard_percent,95,6,3,181,75,guard,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1,TRUE
31906,2025,5116,Anthony Black,PG,ORL,78,1887,60,38,2,0,0,guard_percent,98,6,7,198,79,guard,-0.6,3,2.4,0.061,-3.1,1.2,-1.9,0,FALSE
31908,2025,4066,Anthony Davis,C,LAL,42,1440,0,0,0,5,95,big_percent,100,6,10,253,82,big,3.6,2.6,6.2,0.207,4.5,1.5,6,2.9,TRUE
31909,2025,4066,Anthony Davis,PF,DAL,9,266,0,0,0,58,42,big_percent,100,6,10,253,82,big,0.1,0.4,0.5,0.088,1.2,1.3,2.5,0.3,FALSE
31910,2025,4808,Anthony Edwards,SG,MIN,79,2871,1,63,34,2,0,wing_small_percent,97,6,4,225,76,wing,4.6,3.8,8.4,0.14,4.4,0,4.3,4.6,TRUE
31911,2025,4809,Anthony Gill,PF,WAS,51,397,0,0,10,85,5,wing_big_percent,95,6,7,230,79,wing,0.4,0.1,0.5,0.058,-3,-1.5,-4.5,-0.3,FALSE
31912,2025,5216,Anton Watson,SF,NYK,9,22,0,0,0,42,58,big_percent,100,6,8,225,80,big,-0.1,0,0,-0.07,-8.3,-1.8,-10.1,0,FALSE
31913,2025,5217,Antonio Reeves,SG,NOP,44,660,13,50,35,2,0,wing_small_percent,85,6,5,205,77,wing,0.4,0,0.4,0.029,-1.2,-2,-3.2,-0.2,FALSE
